Date,Store name,Payment context,Device ID,Status,Payment type,Sales,Teya fee,Teya fee classifier,Interchange fee,Scheme fee,MOTO fee,Fixed fee,Chargeback fee,Total fees,Pay by Link Email,Pay by Link Phone,Settlement status
2026-04-12,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,640,6.08,,2.06,2.19,,,,10.33,,,
2026-04-12,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,1280,12.16,,4.13,4.38,,,,20.67,,,
2026-04-12,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,5950,56.53,,11.9,20.35,,,,88.78,,,
2026-04-11,https://kemp-carlsbad.cz/,ECOM,giBb4kEM,SUCCEEDED,PAYMENT,1350,7.43,,4.05,2.84,,,,14.32,,,
2026-04-10,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,20,0.11,,0.04,0.04,,,,0.19,,,
2026-04-10,https://qa-glamping.eu/,ECOM,x1qqI2yV,SUCCEEDED,PAYMENT,20,0.11,,0.04,0.04,,,,0.19,,,
2026-04-10,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,400,3.8,,0.8,1.37,,,,5.97,,,
2026-04-09,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,980,9.31,,1.96,3.35,,,,14.62,,,
2026-04-08,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,650,6.18,,1.3,2.22,,,,9.7,,,
2026-04-08,Camping KEMP CARLSBAD,PAY_BY_LINK,Od84Ep1f,SUCCEEDED,PAYMENT,1180,11.21,,2.36,4.04,,,,17.61,,,
2026-04-08,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,640,6.08,,1.28,2.19,,,,9.55,,,
2026-04-07,Camping KEMP CARLSBAD,SOFT_POS,hpKmiqCd,SUCCEEDED,PAYMENT,1520,14.44,,3.04,5.2,,,,22.68,,,
2026-04-05,Camping KEMP CARLSBAD,TERMINAL,f58wPPnr,SUCCEEDED,PAYMENT,3000,28.5,,9,10.26,,,,47.76,,,
2026-04-04,Restaurace KEMP CARLSBAD,PAY_BY_LINK,Bdmyc3ZD,SUCCEEDED,PAYMENT,800,4.4,,1.6,1.92,,,,7.92,,,
2026-04-04,Camping KEMP CARLSBAD,PAY_BY_LINK,,PENDING,PAYMENT,800,,,,,,,,,,,
